eng;x;64;64;2;0;0.9203;0.7271
eng;x;64;64;2;0;0.9157;0.7356
eng;x;64;128;2;0;0.9658;0.7735
eng;x;64;200;2;0;0.9825;0.7711
eng;x;64;300;2;0;0.9915;0.7709
eng;x;128;64;2;0;0.9288;0.7103
eng;x;128;128;2;0;0.9696;0.7520
eng;x;128;200;2;0;0.9826;0.7658
eng;x;128;300;2;0;0.9939;0.7774
eng;x;200;64;2;0;0.9369;0.7161
eng;x;200;128;2;0;0.9736;0.7382
eng;x;200;200;2;0;0.9869;0.7514
eng;x;200;300;2;0;0.9921;0.7731
eng;x;64;64;2;0;0.9268;0.7433
eng;x;64;128;2;0;0.9640;0.7618
eng;x;64;200;2;0;0.9831;0.7725
eng;x;64;300;2;0;0.9917;0.7855
eng;x;128;64;2;0;0.9311;0.7217
eng;x;128;128;2;0;0.9712;0.7591
eng;x;128;200;2;0;0.9856;0.7688
eng;x;128;300;2;0;0.9921;0.7686
eng;x;200;64;2;0;0.9457;0.7244
eng;x;200;128;2;0;0.9715;0.7432
eng;x;200;200;2;0;0.9867;0.7608
eng;x;200;300;2;0;0.9933;0.7648
eng;x;64;64;2;0;0.9174;0.7372
eng;x;64;128;2;0;0.9647;0.7716
eng;x;64;200;2;0;0.9827;0.7766
eng;x;64;300;2;0;0.9927;0.7828
eng;x;128;64;2;0;0.9297;0.7147
eng;x;128;128;2;0;0.9703;0.7389
eng;x;128;200;2;0;0.9849;0.7571
eng;x;64;64;2;0;0.9247;0.7408
eng;x;64;128;2;0;0.9644;0.7713
eng;x;64;200;2;0;0.9822;0.7760
eng;x;64;300;2;0;0.9928;0.7871
eng;x;128;64;2;0;0.9305;0.7301
eng;x;128;128;2;0;0.9722;0.7389
eng;x;128;200;2;0;0.9853;0.7603
eng;x;128;300;2;0;0.9923;0.7784
eng;x;200;64;2;0;0.9412;0.7077
eng;x;200;128;2;0;0.9763;0.7423
eng;x;200;200;2;0;0.9856;0.7600
eng;x;200;300;2;0;0.9931;0.7640
eng;x;64;64;2;0;0.9139;0.7332
eng;x;64;128;2;0;0.9642;0.7631
eng;x;64;200;2;0;0.9807;0.7698
eng;x;64;300;2;0;0.9921;0.7846
eng;x;128;64;2;0;0.9292;0.7131
eng;x;128;128;2;0;0.9706;0.7521
eng;x;128;200;2;0;0.9842;0.7724
eng;x;128;300;2;0;0.9934;0.7679
eng;x;200;64;2;0;0.9386;0.7137
eng;x;200;128;2;0;0.9760;0.7427
eng;x;200;200;2;0;0.9854;0.7575
eng;x;200;300;2;0;0.9935;0.7624
eng;x;64;64;2;0;0.9187;0.7316
eng;x;64;128;2;0;0.9687;0.7596
eng;x;64;200;2;0;0.9814;0.7754
eng;x;64;300;2;0;0.9922;0.7899
eng;x;128;64;2;0;0.9317;0.7202
eng;x;128;128;2;0;0.9746;0.7556
eng;x;128;200;2;0;0.9842;0.7630
eng;x;128;300;2;0;0.9931;0.7713
eng;x;200;64;2;0;0.9331;0.7105
eng;x;200;128;2;0;0.9761;0.7399
eng;x;200;200;2;0;0.9870;0.7522
eng;x;200;300;2;0;0.9937;0.7666
eng;f;64;64;2;0;0.9074;0.6985
eng;f;64;128;2;0;0.9530;0.7269
eng;f;64;200;2;0;0.9707;0.7217
eng;f;64;300;2;0;0.9764;0.7363
eng;f;128;64;2;0;0.9203;0.6910
eng;f;128;128;2;0;0.9582;0.7227
eng;f;128;200;2;0;0.9761;0.7326
eng;f;128;300;2;0;0.9833;0.7254
eng;f;200;64;2;0;0.9338;0.6867
eng;f;200;128;2;0;0.9666;0.7163
eng;f;200;200;2;0;0.9791;0.7190
eng;f;200;300;2;0;0.9858;0.7329
eng;f;64;64;2;0;0.9076;0.7039
eng;f;64;128;2;0;0.9524;0.7189
eng;f;64;200;2;0;0.9691;0.7383
eng;f;64;300;2;0;0.9799;0.7340
eng;f;128;64;2;0;0.9236;0.7085
eng;f;128;128;2;0;0.9609;0.7267
eng;f;128;200;2;0;0.9760;0.7267
eng;f;128;300;2;0;0.9846;0.7367
eng;f;200;64;2;0;0.9341;0.6990
eng;f;200;128;2;0;0.9657;0.7188
eng;f;200;200;2;0;0.9778;0.7248
eng;f;200;300;2;0;0.9858;0.7369
eng;f;64;64;2;0;0.9144;0.7116
eng;f;64;128;2;0;0.9540;0.7317
eng;f;64;200;2;0;0.9675;0.7269
eng;f;64;300;2;0;0.9766;0.7421
eng;f;128;64;2;0;0.9225;0.6992
eng;f;128;128;2;0;0.9659;0.7205
eng;f;128;200;2;0;0.9769;0.7243
eng;f;128;300;2;0;0.9840;0.7317
eng;f;200;64;2;0;0.9308;0.6939
eng;f;200;128;2;0;0.9668;0.7111
eng;f;200;200;2;0;0.9792;0.7195
eng;f;200;300;2;0;0.9873;0.7356
